region,latitude,longitude,seismic_zone,event_count_30d,avg_magnitude,max_magnitude,magnitude_std,b_value,avg_depth_km,log_energy_release,inter_event_cv,recent_rate_7d,rate_change_ratio,significant_event_next30d
West Bengal,23.47,88.29,3,1,3.69,3.69,0.0,1.0,5.8,5.541,0.0,0,0.0,0
Gujarat-Saurashtra,21.87,72.14,3,0,0.0,0.0,0.0,1.0,14.4,0.0,0.0,0,0.0,0
Kashmir,34.27,74.09,5,7,2.48,3.06,0.382,0.817,47.2,4.925,0.645,1,0.545,1
Maharashtra-Koyna,17.28,74.13,4,6,2.19,2.47,0.128,1.803,22.5,4.116,0.203,0,0.0,1
Arunachal Pradesh,28.99,94.04,5,1,2.39,2.39,0.0,1.0,73.1,3.578,0.0,0,0.0,0
Bihar,25.6,85.55,4,2,2.75,3.37,0.614,1.0,18.0,5.06,0.0,0,0.0,0
Madhya Pradesh,24.46,77.62,2,1,2.48,2.48,0.0,1.0,6.8,3.725,0.0,0,0.0,0
Andaman Islands,11.13,93.48,5,4,2.48,3.17,0.488,1.0,12.6,4.849,0.661,0,0.0,0
Tamil Nadu,10.74,79.61,2,0,0.0,0.0,0.0,1.0,12.3,0.0,0.0,0,0.0,0
Assam,26.56,92.11,5,4,2.25,2.37,0.109,1.0,44.9,4.0,0.547,1,1.083,0
Himachal Pradesh,32.04,76.49,5,3,2.4,2.49,0.085,1.0,17.3,4.1,0.22,1,1.616,0
Sikkim,27.24,89.15,4,2,2.53,2.61,0.073,1.0,13.6,4.116,0.0,0,0.0,0
Sikkim,27.44,89.4,4,2,2.2,2.35,0.145,1.0,59.8,3.655,0.0,1,3.181,0
Kashmir,34.65,75.14,5,4,2.27,2.64,0.224,1.0,58.1,4.158,0.71,3,9.544,1
Madhya Pradesh,23.14,77.05,2,0,0.0,0.0,0.0,1.0,9.8,0.0,0.0,0,0.0,0
Delhi-NCR,27.96,77.86,4,2,2.72,3.39,0.675,1.0,19.9,5.093,0.0,0,0.0,1
Karnataka,14.82,75.12,2,1,2.06,2.06,0.0,1.0,5.7,3.095,0.0,0,0.0,0
Gujarat-Kutch,22.3,69.91,5,3,2.41,2.86,0.317,1.0,27.5,4.369,0.235,0,0.0,1
Uttarakhand,30.21,80.35,5,4,2.26,2.5,0.174,1.0,50.4,4.069,0.359,0,0.0,0
Ladakh,34.67,78.29,5,5,2.29,2.71,0.276,1.272,39.3,4.337,0.369,0,0.0,0
Kerala,10.41,75.48,3,1,2.23,2.23,0.0,1.0,13.8,3.351,0.0,2,6.362,1
Assam,26.98,91.13,5,6,2.33,2.58,0.204,1.152,11.7,4.368,0.966,0,0.0,0
Gujarat-Saurashtra,22.76,71.4,3,1,2.39,2.39,0.0,1.0,8.1,3.584,0.0,0,0.0,0
Tripura,24.07,90.71,5,2,2.33,2.37,0.04,1.0,100.0,3.806,0.0,0,0.0,0
Gujarat-Saurashtra,21.95,72.02,3,1,3.19,3.19,0.0,1.0,19.6,4.779,0.0,0,0.0,0
Karnataka,15.65,75.97,2,0,0.0,0.0,0.0,1.0,6.8,0.0,0.0,0,0.0,0
Sikkim,27.42,87.75,4,1,2.26,2.26,0.0,1.0,29.1,3.393,0.0,1,3.181,0
Gujarat-Kutch,23.39,69.85,5,1,2.58,2.58,0.0,1.0,15.7,3.863,0.0,1,3.181,0
Karnataka,14.89,75.63,2,0,0.0,0.0,0.0,1.0,7.3,0.0,0.0,0,0.0,0
Assam,26.62,91.35,5,4,2.13,2.18,0.041,1.0,19.6,3.809,0.593,0,0.0,0
Karnataka,14.5,75.72,2,0,0.0,0.0,0.0,1.0,11.9,0.0,0.0,0,0.0,0
Odisha,20.61,85.67,2,0,0.0,0.0,0.0,1.0,6.6,0.0,0.0,0,0.0,0
West Bengal,22.8,87.43,3,1,2.34,2.34,0.0,1.0,37.2,3.506,0.0,0,0.0,0
Uttarakhand,30.61,78.78,5,5,2.55,3.89,0.684,0.725,21.2,5.848,0.756,0,0.0,1
Karnataka,16.15,76.65,2,1,3.07,3.07,0.0,1.0,5.5,4.601,0.0,0,0.0,1
Tripura,23.77,90.61,5,2,2.52,2.85,0.332,1.0,93.7,4.314,0.0,0,0.0,0
Himachal Pradesh,30.78,76.83,5,6,2.11,2.24,0.086,2.5,46.1,3.969,0.563,3,3.25,1
Karnataka,14.44,76.68,2,0,0.0,0.0,0.0,1.0,19.2,0.0,0.0,0,0.0,0
Meghalaya,25.28,91.8,5,1,2.7,2.7,0.0,1.0,30.8,4.049,0.0,1,3.181,0
Ladakh,33.83,77.85,5,6,2.51,2.86,0.208,0.78,18.2,4.659,0.867,1,0.653,1
Kerala,10.81,76.91,3,1,2.94,2.94,0.0,1.0,14.9,4.412,0.0,0,0.0,0
Nagaland,26.39,94.35,5,3,2.51,3.48,0.685,1.0,54.4,5.227,0.007,0,0.0,1
Tamil Nadu,10.87,78.93,2,0,0.0,0.0,0.0,1.0,54.3,0.0,0.0,0,0.0,0
Manipur,24.39,94.75,5,1,2.31,2.31,0.0,1.0,43.5,3.458,0.0,1,3.181,1
Andaman Islands,12.07,92.48,5,4,2.44,2.75,0.231,1.0,53.6,4.39,0.444,1,1.083,0
Himachal Pradesh,30.31,77.83,5,3,2.25,2.38,0.119,1.0,31.0,3.882,0.248,1,1.616,0
Nagaland,25.66,94.21,5,0,0.0,0.0,0.0,1.0,46.9,0.0,0.0,0,0.0,0
Tripura,23.68,90.87,5,0,0.0,0.0,0.0,1.0,49.8,0.0,0.0,2,6.362,0
West Bengal,23.23,89.11,3,0,0.0,0.0,0.0,1.0,12.0,0.0,0.0,0,0.0,0
Rajasthan,26.58,74.96,2,0,0.0,0.0,0.0,1.0,86.4,0.0,0.0,0,0.0,0
Tamil Nadu,10.19,78.39,2,0,0.0,0.0,0.0,1.0,12.7,0.0,0.0,0,0.0,0
Kashmir,34.41,74.9,5,4,2.1,2.15,0.049,1.0,26.3,3.758,0.391,1,1.083,0
Himachal Pradesh,31.07,77.85,5,6,2.36,3.0,0.311,1.051,60.6,4.644,1.105,0,0.0,1
Kashmir,34.35,75.4,5,3,2.62,3.27,0.493,1.0,40.4,4.938,0.435,1,1.616,0
Kashmir,34.37,75.2,5,2,2.12,2.19,0.067,1.0,37.4,3.498,0.0,0,0.0,0
Assam,26.67,91.72,5,4,2.15,2.41,0.167,1.0,24.4,3.908,0.725,0,0.0,0
Gujarat-Kutch,23.46,68.96,5,2,2.47,2.75,0.289,1.0,42.7,4.186,0.0,0,0.0,0
Meghalaya,25.38,92.53,5,2,2.09,2.18,0.084,1.0,24.8,3.456,0.0,1,3.181,1
Odisha,21.06,85.71,2,0,0.0,0.0,0.0,1.0,12.8,0.0,0.0,0,0.0,0
Arunachal Pradesh,28.93,94.74,5,3,2.52,2.83,0.214,1.0,10.2,4.391,0.121,2,6.362,1
Tripura,24.75,92.2,5,2,2.71,3.1,0.389,1.0,31.3,4.673,0.0,0,0.0,0
Sikkim,26.9,89.2,4,0,0.0,0.0,0.0,1.0,44.6,0.0,0.0,1,3.181,0
Nagaland,26.27,95.34,5,3,3.43,5.07,1.165,1.0,19.2,7.601,0.283,0,0.0,1
Gujarat-Kutch,23.82,68.88,5,2,2.25,2.37,0.115,1.0,35.8,3.713,0.0,1,3.181,0
Bihar,24.68,84.41,4,1,2.23,2.23,0.0,1.0,76.5,3.349,0.0,1,3.181,0
Ladakh,33.32,77.78,5,5,2.6,3.52,0.519,0.669,11.7,5.331,1.535,1,0.815,1
Ladakh,33.34,78.38,5,3,2.56,3.2,0.463,1.0,20.9,4.836,0.93,0,0.0,0
Nagaland,25.96,94.53,5,1,3.26,3.26,0.0,1.0,41.8,4.884,0.0,1,3.181,0
Arunachal Pradesh,28.61,94.2,5,3,2.54,3.22,0.488,1.0,31.4,4.855,0.44,0,0.0,0
Himachal Pradesh,31.66,78.0,5,2,2.93,3.82,0.891,1.0,24.8,5.729,0.0,1,3.181,1
Bihar,25.55,85.58,4,1,2.04,2.04,0.0,1.0,36.6,3.067,0.0,0,0.0,0
Karnataka,14.84,76.58,2,0,0.0,0.0,0.0,1.0,7.6,0.0,0.0,0,0.0,0
Ladakh,33.71,78.22,5,3,2.24,2.38,0.105,1.0,40.5,3.867,0.638,1,1.616,0
Tripura,24.2,92.39,5,0,0.0,0.0,0.0,1.0,51.1,0.0,0.0,1,3.181,0
Delhi-NCR,27.63,76.31,4,1,2.11,2.11,0.0,1.0,10.2,3.166,0.0,0,0.0,0
Tripura,24.06,91.72,5,0,0.0,0.0,0.0,1.0,10.5,0.0,0.0,0,0.0,0
Rajasthan,26.63,75.53,2,0,0.0,0.0,0.0,1.0,13.2,0.0,0.0,0,0.0,0
Assam,25.48,91.42,5,8,2.45,3.42,0.431,0.864,31.6,5.218,1.03,3,1.959,1
Kashmir,33.79,74.3,5,4,2.31,2.86,0.318,1.0,63.1,4.387,0.791,1,1.083,0
Karnataka,14.91,75.83,2,0,0.0,0.0,0.0,1.0,11.7,0.0,0.0,0,0.0,0
Gujarat-Kutch,22.62,69.66,5,2,2.99,3.35,0.366,1.0,23.6,5.065,0.0,3,9.544,0
Delhi-NCR,28.26,77.9,4,1,2.55,2.55,0.0,1.0,28.2,3.826,0.0,0,0.0,0
Madhya Pradesh,23.82,77.79,2,0,0.0,0.0,0.0,1.0,6.3,0.0,0.0,0,0.0,0
Madhya Pradesh,23.28,76.45,2,0,0.0,0.0,0.0,1.0,24.8,0.0,0.0,0,0.0,0
Karnataka,14.87,76.22,2,1,2.2,2.2,0.0,1.0,11.4,3.306,0.0,0,0.0,0
Mizoram,22.8,93.18,5,0,0.0,0.0,0.0,1.0,51.4,0.0,0.0,0,0.0,0
Sikkim,27.54,89.46,4,1,2.34,2.34,0.0,1.0,21.0,3.509,0.0,0,0.0,0
Bihar,25.01,84.98,4,1,2.51,2.51,0.0,1.0,21.5,3.767,0.0,0,0.0,0
West Bengal,22.06,87.59,3,0,0.0,0.0,0.0,1.0,14.6,0.0,0.0,2,6.362,0
Assam,25.99,92.56,5,2,2.03,2.06,0.026,1.0,23.5,3.349,0.0,1,3.181,0
Madhya Pradesh,22.81,77.45,2,1,2.03,2.03,0.0,1.0,29.4,3.041,0.0,0,0.0,0
Tripura,23.24,91.25,5,1,2.07,2.07,0.0,1.0,13.8,3.111,0.0,0,0.0,0
Tripura,23.96,90.83,5,1,2.1,2.1,0.0,1.0,39.3,3.149,0.0,0,0.0,0
Maharashtra-Koyna,16.5,74.07,4,1,2.02,2.02,0.0,1.0,52.7,3.037,0.0,0,0.0,0
Assam,25.72,91.32,5,4,2.31,2.77,0.27,1.0,53.9,4.287,0.52,0,0.0,0
Assam,26.26,91.58,5,5,2.54,3.29,0.438,0.732,77.2,5.033,0.678,1,0.815,1
Karnataka,15.53,75.08,2,0,0.0,0.0,0.0,1.0,17.9,0.0,0.0,0,0.0,0
Mizoram,24.13,92.66,5,3,2.61,3.0,0.302,1.0,47.4,4.612,0.434,0,0.0,1
Nagaland,25.24,94.43,5,1,3.03,3.03,0.0,1.0,47.8,4.543,0.0,0,0.0,0
Meghalaya,24.89,92.59,5,2,2.59,2.8,0.213,1.0,23.4,4.293,0.0,0,0.0,0
Maharashtra-Koyna,16.99,73.2,4,0,0.0,0.0,0.0,1.0,151.3,0.0,0.0,1,3.181,0
West Bengal,22.35,87.6,3,2,2.17,2.18,0.004,1.0,9.2,3.559,0.0,2,6.362,0
Himachal Pradesh,30.94,76.84,5,2,2.4,2.73,0.328,1.0,21.7,4.135,0.0,1,3.181,0
Kerala,11.2,76.58,3,0,0.0,0.0,0.0,1.0,7.7,0.0,0.0,0,0.0,0
Arunachal Pradesh,28.17,95.63,5,3,2.74,3.76,0.735,1.0,35.7,5.644,0.001,0,0.0,1
Manipur,24.08,93.54,5,0,0.0,0.0,0.0,1.0,18.2,0.0,0.0,0,0.0,0
Tripura,24.61,91.41,5,2,2.38,2.69,0.304,1.0,33.8,4.079,0.0,0,0.0,0
Gujarat-Kutch,22.84,68.85,5,2,2.32,2.57,0.243,1.0,29.2,3.924,0.0,0,0.0,0
Sikkim,28.11,87.86,4,1,2.71,2.71,0.0,1.0,40.2,4.061,0.0,1,3.181,0
Mizoram,24.41,92.43,5,1,2.69,2.69,0.0,1.0,60.7,4.033,0.0,1,3.181,0
Andaman Islands,11.81,93.1,5,3,2.06,2.1,0.03,1.0,25.5,3.576,0.401,0,0.0,0
Tamil Nadu,11.8,77.79,2,1,2.78,2.78,0.0,1.0,9.6,4.168,0.0,0,0.0,0
Madhya Pradesh,23.05,77.45,2,2,2.42,2.6,0.174,1.0,11.8,4.008,0.0,0,0.0,0
Arunachal Pradesh,27.29,94.22,5,4,2.79,3.23,0.295,1.0,31.7,5.014,0.64,0,0.0,1
Madhya Pradesh,23.46,77.88,2,0,0.0,0.0,0.0,1.0,17.6,0.0,0.0,0,0.0,0
Madhya Pradesh,22.74,77.6,2,1,2.41,2.41,0.0,1.0,10.8,3.621,0.0,0,0.0,0
Manipur,24.04,93.86,5,2,2.32,2.39,0.068,1.0,39.5,3.799,0.0,1,3.181,0
Tripura,22.94,92.01,5,2,2.36,2.7,0.342,1.0,79.0,4.096,0.0,0,0.0,0
Madhya Pradesh,22.99,76.44,2,0,0.0,0.0,0.0,1.0,5.1,0.0,0.0,0,0.0,0
Odisha,19.37,85.31,2,0,0.0,0.0,0.0,1.0,5.7,0.0,0.0,0,0.0,0
Mizoram,24.45,93.68,5,6,2.43,3.17,0.393,0.908,32.5,4.877,0.629,0,0.0,1
Delhi-NCR,29.04,76.78,4,1,2.08,2.08,0.0,1.0,14.7,3.12,0.0,0,0.0,0
Ladakh,33.25,77.88,5,4,2.22,2.46,0.181,1.0,12.4,4.009,0.393,1,1.083,0
Sikkim,27.77,89.23,4,3,2.13,2.19,0.037,1.0,13.3,3.682,0.247,0,0.0,0
Himachal Pradesh,31.6,76.37,5,4,2.13,2.27,0.094,1.0,17.4,3.825,0.843,1,1.083,0
Rajasthan,27.32,75.59,2,0,0.0,0.0,0.0,1.0,8.9,0.0,0.0,1,3.181,0
Gujarat-Kutch,23.19,70.19,5,5,2.33,2.63,0.207,1.129,34.0,4.303,0.296,0,0.0,1
Karnataka,14.49,76.65,2,0,0.0,0.0,0.0,1.0,9.8,0.0,0.0,0,0.0,0
Arunachal Pradesh,27.98,95.57,5,2,2.67,2.67,0.002,1.0,18.5,4.31,0.0,0,0.0,0
Mizoram,24.64,92.14,5,3,2.78,3.81,0.753,1.0,30.0,5.715,0.374,0,0.0,1
Odisha,19.58,86.57,2,0,0.0,0.0,0.0,1.0,13.3,0.0,0.0,0,0.0,0
Kashmir,33.47,73.93,5,2,2.38,2.54,0.159,1.0,76.4,3.93,0.0,1,3.181,0
Maharashtra-Koyna,17.48,73.15,4,4,2.25,2.46,0.151,1.0,33.6,4.034,0.407,1,1.083,1
Gujarat-Kutch,22.79,69.69,5,3,2.71,2.98,0.365,1.0,21.1,4.762,0.135,0,0.0,1
Andaman Islands,12.81,93.08,5,3,2.27,2.29,0.017,1.0,16.2,3.883,0.789,1,1.616,0
Kerala,11.1,76.27,3,0,0.0,0.0,0.0,1.0,6.5,0.0,0.0,0,0.0,0
Karnataka,14.61,76.19,2,0,0.0,0.0,0.0,1.0,13.8,0.0,0.0,0,0.0,0
Andaman Islands,11.22,93.24,5,2,2.29,2.47,0.18,1.0,15.8,3.812,0.0,2,6.362,0
Uttarakhand,30.66,79.33,5,4,2.45,2.68,0.251,1.0,16.5,4.405,0.806,2,3.233,0
Bihar,25.58,84.11,4,4,2.6,3.04,0.296,1.0,36.3,4.72,0.415,0,0.0,1
Arunachal Pradesh,28.18,95.6,5,2,2.16,2.23,0.072,1.0,24.2,3.552,0.0,0,0.0,0
Uttarakhand,29.97,79.14,5,5,2.74,3.3,0.461,0.549,43.8,5.195,0.379,0,0.0,1
Maharashtra-Koyna,16.42,74.11,4,1,2.2,2.2,0.0,1.0,27.8,3.295,0.0,1,3.181,0
Nagaland,26.71,94.79,5,2,2.52,2.78,0.26,1.0,31.9,4.24,0.0,0,0.0,0
Sikkim,26.6,89.24,4,4,2.37,3.09,0.418,1.0,23.7,4.68,0.294,0,0.0,0
Kashmir,33.29,75.04,5,4,2.38,2.88,0.298,1.0,56.1,4.437,0.087,0,0.0,0
Gujarat-Kutch,23.25,69.83,5,0,0.0,0.0,0.0,1.0,33.3,0.0,0.0,0,0.0,0
Madhya Pradesh,23.1,78.07,2,0,0.0,0.0,0.0,1.0,18.0,0.0,0.0,0,0.0,0
Uttarakhand,31.12,78.6,5,2,2.66,2.94,0.275,1.0,74.3,4.465,0.0,2,6.362,0
Odisha,21.3,85.54,2,0,0.0,0.0,0.0,1.0,32.5,0.0,0.0,0,0.0,0
Sikkim,26.74,88.83,4,2,2.39,2.62,0.233,1.0,16.3,4.01,0.0,1,3.181,0
Tamil Nadu,10.59,78.52,2,0,0.0,0.0,0.0,1.0,11.1,0.0,0.0,0,0.0,0
Bihar,25.0,84.58,4,1,3.43,3.43,0.0,1.0,15.1,5.145,0.0,1,3.181,0
Gujarat-Saurashtra,22.24,71.38,3,1,2.35,2.35,0.0,1.0,43.4,3.528,0.0,0,0.0,0
Nagaland,25.89,95.5,5,1,2.87,2.87,0.0,1.0,18.8,4.303,0.0,1,3.181,1
West Bengal,22.03,87.96,3,1,2.11,2.11,0.0,1.0,10.3,3.158,0.0,0,0.0,0
Manipur,24.97,94.31,5,3,3.46,4.56,0.78,1.0,15.5,6.849,0.661,1,1.616,1
Himachal Pradesh,30.52,77.68,5,2,2.23,2.32,0.092,1.0,18.2,3.663,0.0,0,0.0,0
Maharashtra-Koyna,16.74,74.39,4,2,2.95,3.6,0.658,1.0,43.8,5.41,0.0,0,0.0,0
Delhi-NCR,28.43,77.12,4,0,0.0,0.0,0.0,1.0,47.4,0.0,0.0,0,0.0,0
Sikkim,26.56,89.21,4,5,2.29,3.27,0.491,1.264,29.5,4.935,0.377,0,0.0,1
Gujarat-Saurashtra,21.36,71.6,3,1,2.01,2.01,0.0,1.0,47.1,3.014,0.0,0,0.0,0
Kashmir,35.07,75.74,5,4,2.29,2.66,0.233,1.0,51.6,4.187,0.247,3,9.544,1
Andaman Islands,12.87,92.82,5,4,2.11,2.22,0.098,1.0,16.5,3.798,0.652,0,0.0,0
Delhi-NCR,29.22,78.04,4,3,2.73,3.5,0.601,1.0,59.0,5.273,0.299,0,0.0,1
Mizoram,22.8,92.57,5,2,2.98,3.46,0.489,1.0,25.2,5.212,0.0,0,0.0,0
Madhya Pradesh,23.57,78.11,2,0,0.0,0.0,0.0,1.0,42.3,0.0,0.0,0,0.0,0
Manipur,25.15,93.07,5,3,2.36,2.46,0.089,1.0,24.6,4.043,0.598,0,0.0,0
Gujarat-Saurashtra,21.87,71.58,3,0,0.0,0.0,0.0,1.0,9.8,0.0,0.0,2,6.362,0
Tripura,23.5,92.48,5,3,2.61,3.06,0.39,1.0,79.7,4.7,0.06,0,0.0,1
Karnataka,15.27,75.32,2,0,0.0,0.0,0.0,1.0,19.7,0.0,0.0,0,0.0,0
Kerala,11.23,75.68,3,0,0.0,0.0,0.0,1.0,25.3,0.0,0.0,0,0.0,0
Meghalaya,25.4,92.69,5,4,2.57,3.03,0.304,1.0,15.7,4.698,0.791,1,1.083,0
Rajasthan,27.5,75.47,2,1,3.55,3.55,0.0,1.0,26.3,5.332,0.0,0,0.0,1
Odisha,19.67,86.08,2,0,0.0,0.0,0.0,1.0,7.3,0.0,0.0,0,0.0,0
Nagaland,26.98,95.48,5,0,0.0,0.0,0.0,1.0,17.6,0.0,0.0,1,3.181,0
Gujarat-Saurashtra,22.67,72.62,3,0,0.0,0.0,0.0,1.0,28.1,0.0,0.0,0,0.0,0
Andaman Islands,11.33,93.43,5,5,2.58,2.96,0.298,0.685,31.5,4.759,0.667,0,0.0,1
Odisha,20.17,85.39,2,0,0.0,0.0,0.0,1.0,6.7,0.0,0.0,1,3.181,0
Manipur,24.78,94.07,5,1,2.27,2.27,0.0,1.0,53.7,3.41,0.0,2,6.362,0
Delhi-NCR,29.57,77.51,4,1,2.16,2.16,0.0,1.0,11.8,3.235,0.0,0,0.0,0
Kashmir,33.75,75.4,5,2,2.19,2.21,0.022,1.0,18.7,3.588,0.0,1,3.181,0
Maharashtra-Koyna,18.2,72.8,4,2,2.86,3.08,0.222,1.0,71.3,4.703,0.0,2,6.362,0
Tripura,23.1,91.65,5,1,2.58,2.58,0.0,1.0,72.0,3.871,0.0,0,0.0,0
Meghalaya,25.09,92.17,5,0,0.0,0.0,0.0,1.0,10.5,0.0,0.0,0,0.0,0
Gujarat-Kutch,23.64,69.74,5,2,2.12,2.22,0.105,1.0,78.7,3.507,0.0,1,3.181,1
Bihar,24.67,85.92,4,2,2.44,2.86,0.418,1.0,10.1,4.316,0.0,0,0.0,0
Meghalaya,25.26,91.8,5,2,2.48,2.95,0.477,1.0,31.0,4.447,0.0,0,0.0,0
Tamil Nadu,11.44,77.92,2,0,0.0,0.0,0.0,1.0,27.5,0.0,0.0,0,0.0,0
Arunachal Pradesh,28.44,94.2,5,2,2.95,3.07,0.118,1.0,18.7,4.766,0.0,0,0.0,0
Himachal Pradesh,30.14,77.25,5,4,2.26,2.5,0.193,1.0,25.6,4.083,0.383,1,1.083,0
Andaman Islands,11.75,92.67,5,2,2.8,3.48,0.68,1.0,18.7,5.219,0.0,2,6.362,1
Gujarat-Kutch,24.18,70.49,5,2,2.0,2.01,0.002,1.0,13.0,3.306,0.0,0,0.0,0
Meghalaya,26.23,92.35,5,5,2.76,3.49,0.422,0.535,70.3,5.326,0.428,0,0.0,1
Tripura,24.9,92.1,5,1,2.0,2.0,0.0,1.0,67.2,3.001,0.0,0,0.0,0
Tamil Nadu,11.2,78.68,2,1,2.78,2.78,0.0,1.0,15.3,4.173,0.0,0,0.0,0
Andaman Islands,12.65,92.44,5,7,2.34,2.74,0.239,1.111,35.6,4.507,0.946,2,1.306,0
Delhi-NCR,28.29,76.36,4,1,3.27,3.27,0.0,1.0,21.4,4.906,0.0,0,0.0,0
Kashmir,34.22,74.67,5,2,2.42,2.73,0.307,1.0,23.4,4.147,0.0,1,3.181,0
Karnataka,16.25,76.54,2,0,0.0,0.0,0.0,1.0,15.8,0.0,0.0,0,0.0,0
Karnataka,14.66,74.84,2,0,0.0,0.0,0.0,1.0,10.5,0.0,0.0,0,0.0,0
Assam,25.16,91.9,5,6,2.46,3.66,0.565,0.851,45.6,5.512,0.966,0,0.0,1
Kerala,10.54,76.18,3,1,5.16,5.16,0.0,1.0,22.0,7.734,0.0,0,0.0,1
Arunachal Pradesh,29.09,94.29,5,2,2.14,2.24,0.102,1.0,40.6,3.537,0.0,2,6.362,0
Tamil Nadu,10.14,79.31,2,0,0.0,0.0,0.0,1.0,7.6,0.0,0.0,0,0.0,0
Andaman Islands,11.98,93.0,5,1,2.35,2.35,0.0,1.0,38.4,3.52,0.0,2,6.362,1
Rajasthan,27.81,76.37,2,0,0.0,0.0,0.0,1.0,9.2,0.0,0.0,0,0.0,0
Gujarat-Kutch,23.75,69.95,5,0,0.0,0.0,0.0,1.0,12.3,0.0,0.0,0,0.0,0
Andaman Islands,12.01,93.6,5,5,2.56,3.06,0.37,0.709,15.6,4.831,0.603,1,0.815,0
Meghalaya,25.23,91.48,5,1,2.44,2.44,0.0,1.0,46.1,3.66,0.0,0,0.0,0
Karnataka,15.68,75.93,2,1,2.44,2.44,0.0,1.0,14.4,3.657,0.0,0,0.0,1
Nagaland,26.77,94.6,5,1,3.25,3.25,0.0,1.0,52.8,4.876,0.0,0,0.0,0
Kerala,9.72,75.76,3,1,2.28,2.28,0.0,1.0,48.1,3.42,0.0,0,0.0,0
Madhya Pradesh,23.43,77.5,2,0,0.0,0.0,0.0,1.0,15.5,0.0,0.0,0,0.0,0
West Bengal,23.4,87.55,3,0,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0,0.0,0
Tripura,24.89,92.25,5,1,2.27,2.27,0.0,1.0,23.2,3.399,0.0,1,3.181,0
Mizoram,22.95,93.68,5,0,0.0,0.0,0.0,1.0,20.3,0.0,0.0,0,0.0,0
Assam,25.89,92.55,5,3,2.23,2.4,0.157,1.0,56.8,3.877,0.175,3,9.544,1
Assam,25.62,91.23,5,2,2.82,3.02,0.202,1.0,129.2,4.623,0.0,1,3.181,1
Himachal Pradesh,30.43,77.05,5,4,2.17,2.4,0.145,1.0,30.5,3.916,0.402,1,1.083,0
Tripura,24.1,92.16,5,0,0.0,0.0,0.0,1.0,34.6,0.0,0.0,0,0.0,0
Kerala,10.95,76.37,3,1,2.46,2.46,0.0,1.0,7.6,3.685,0.0,0,0.0,0
Gujarat-Kutch,22.52,70.24,5,2,2.79,3.51,0.725,1.0,13.8,5.272,0.0,1,3.181,1
Mizoram,23.34,91.74,5,3,2.39,2.79,0.299,1.0,10.4,4.292,0.87,0,0.0,1
Gujarat-Kutch,22.47,70.26,5,3,2.49,2.92,0.338,1.0,10.7,4.482,0.491,1,1.616,1
Rajasthan,27.21,75.24,2,0,0.0,0.0,0.0,1.0,68.6,0.0,0.0,1,3.181,0
Kashmir,33.86,75.75,5,3,2.22,2.29,0.066,1.0,69.2,3.82,0.409,0,0.0,0
Manipur,24.11,93.46,5,2,2.3,2.6,0.298,1.0,34.0,3.951,0.0,1,3.181,1
Gujarat-Saurashtra,22.55,72.78,3,0,0.0,0.0,0.0,1.0,21.2,0.0,0.0,0,0.0,0
Arunachal Pradesh,27.49,95.6,5,2,2.1,2.15,0.054,1.0,53.3,3.459,0.0,3,9.544,0
Meghalaya,25.75,91.08,5,2,2.43,2.76,0.326,1.0,24.1,4.177,0.0,0,0.0,0
Tripura,24.82,90.58,5,3,2.25,2.65,0.286,1.0,72.6,4.072,0.165,0,0.0,1
Kashmir,34.25,74.74,5,2,2.26,2.4,0.138,1.0,11.5,3.735,0.0,2,6.362,1
Uttarakhand,30.64,79.91,5,0,0.0,0.0,0.0,1.0,25.9,0.0,0.0,0,0.0,0
West Bengal,22.17,87.74,3,2,2.79,3.04,0.25,1.0,30.6,4.625,0.0,0,0.0,0
Assam,26.33,90.75,5,3,2.3,2.68,0.271,1.0,15.3,4.126,0.014,0,0.0,0
Andaman Islands,12.45,91.96,5,4,2.61,2.96,0.352,1.0,14.1,4.758,0.998,2,3.233,0
Maharashtra-Koyna,16.56,74.3,4,1,2.02,2.02,0.0,1.0,11.4,3.025,0.0,0,0.0,0
Delhi-NCR,29.1,77.26,4,2,2.06,2.11,0.048,1.0,60.0,3.399,0.0,0,0.0,0
Karnataka,14.55,75.53,2,0,0.0,0.0,0.0,1.0,17.9,0.0,0.0,0,0.0,0
West Bengal,21.74,89.26,3,2,2.08,2.1,0.026,1.0,6.4,3.417,0.0,0,0.0,0
Madhya Pradesh,24.28,78.09,2,0,0.0,0.0,0.0,1.0,13.9,0.0,0.0,0,0.0,0
West Bengal,21.65,88.92,3,1,2.09,2.09,0.0,1.0,25.7,3.134,0.0,0,0.0,0
Odisha,20.5,86.19,2,0,0.0,0.0,0.0,1.0,14.0,0.0,0.0,0,0.0,0
Maharashtra-Koyna,18.2,72.83,4,2,2.11,2.19,0.09,1.0,30.5,3.48,0.0,0,0.0,0
Uttarakhand,30.51,80.48,5,4,2.35,2.6,0.18,1.0,117.6,4.214,0.8,0,0.0,0
Arunachal Pradesh,27.63,94.33,5,3,2.2,2.25,0.037,1.0,13.6,3.781,0.169,0,0.0,0
Sikkim,28.15,88.01,4,2,2.8,3.46,0.662,1.0,15.7,5.2,0.0,1,3.181,1
Gujarat-Kutch,23.13,69.61,5,2,2.24,2.43,0.198,1.0,70.6,3.748,0.0,0,0.0,0
Karnataka,14.51,76.25,2,0,0.0,0.0,0.0,1.0,13.2,0.0,0.0,0,0.0,0
